ID,Tipo,SKU,Nombre,"¿En inventario?",Inventario
20640,variation,5101104##XS,"Campera Berna Le Port Golf Country Negra - XS",0,0
20641,variation,5101104##S,"Campera Berna Le Port Golf Country Negra - S",0,1
20642,variation,5101104##M,"Campera Berna Le Port Golf Country Negra - M",0,2
20643,variation,5101104##L,"Campera Berna Le Port Golf Country Negra - L",0,1
20644,variation,5101104##XL,"Campera Berna Le Port Golf Country Negra - XL",0,0
20645,variation,5101104##XXL,"Campera Berna Le Port Golf Country Negra - XXL",0,0
20646,simple,8703570##,"Combo Pistolera Y Portacargador doble de regalo",1,98
20651,simple,8703573##,"Pistolera Nivel 3 Polímero Móvil Bersa Pro Automática",1,88
20659,simple,8703656##,"Pistolera Bersa Thunder Pro Nivel 2",0,0
20665,simple,8703658##,"Pistolera Nivel 2 Bersa Thunder Pro",1,54
20671,simple,8703660##,"Pistolera Nivel 2 Glock 17 para zurdo",1,72
20677,simple,8703662##,"Pistolera Nivel 2 para Glock",1,39
20684,simple,8703665##,"Muslera Pistolera Nivel 2 Bersa 92g",1,17
20689,simple,8703667##,"Pistolera Nivel 2 Ajustable Bersa 92gb",1,26
20695,simple,8703669##,"Pistolera Rotativa Nivel 2 Bersa 98",1,25
20701,simple,8703671##,"Pistolera Nivel 3 Glock 17 Doble Seguro de Polímero",1,109
